Event,CD45,CD45RA,CD19,CD11b,CD4,CD8,CD34,CD20,CD33,CD123,CD38,CD90,CD3,label,mean,median,clustered_label,x_y_label,clusterL1,clusterL2,point_x,point_y
1,3.1380408,1.6185523,0.5256113,-0.104679756,0.81136256,1.7406721,0.53136516,-0.15381074,4.29114,2.615224,4.64657,1.8494467,1.2800356,CD11b-_Monocyte_cells,1.7530407710769231,1.6185523,3;2;0;1;,-0x1,0x1,,1/6,3/4
2,3.4868705,2.2477546,0.3095833,0.8333973,1.550594,1.82903,-0.03301778,0.29068378,4.6720037,1.5328768,4.2534485,0.42237368,0.06680576,CD11b-_Monocyte_cells,1.650954164615385,1.5328768,3;2;0;1;,-0x1,0x1,,1/6,3/4
3,2.1455204,0.7968106,-0.116072886,0.18624946,0.52989763,0.83487624,0.7344451,1.5908813,4.4731483,0.4434843,4.511387,0.12461548,-2.0669024,CD11b-_Monocyte_cells,1.0914108095384616,0.7344451,3;2;0;1;,-0x1,0x1,,1/6,3/4
4,4.321869,0.16701613,-0.6391391,-0.020981524,1.8142447,-0.09431527,1.416341,-0.028212657,4.2956038,2.5463831,5.0041,1.3260052,-1.0159531,CD11b-_Monocyte_cells,1.4686893291538463,1.3260052,3;2;0;1;,-0x1,0x1,,1/6,3/4
5,2.6339967,0.714859,-0.1738889,-0.042409766,0.45091087,1.5879022,0.7316076,0.13923396,4.1152997,1.5798559,5.065479,0.6329043,-0.7039036,CD11b-_Monocyte_cells,1.2870651510769233,0.714859,3;2;0;1;,-0x1,0x1,,1/6,3/4
6,2.7249472,0.5233807,-0.13708663,-0.09819809,1.4731755,-0.014582261,0.20163894,-0.15153173,4.2800245,1.3494861,4.169999,0.2043167,2.5761716,CD11b-_Monocyte_cells,1.315518579153846,0.5233807,3;2;0;1;,-0x1,0x1,,1/6,3/4
7,3.2638786,0.58962226,-0.033181798,-0.13132204,1.5527891,-0.12245982,1.5934463,-0.046341162,4.271339,-0.13461137,5.00392,0.4002879,-0.18002117,CD11b-_Monocyte_cells,1.2328727538461537,0.4002879,3;2;0;1;,-0x1,0x1,,1/6,3/4
8,4.2409034,0.84074074,-0.14454815,-0.0056114225,2.8108337,1.0687262,0.7331252,-0.082562044,5.3963785,2.0704787,4.619442,1.610201,0.053714577,CD11b-_Monocyte_cells,1.7855248000384614,1.0687262,3;2;0;1;,-0x1,0x1,,1/6,3/4
9,4.0633574,0.483337,-0.06645587,-0.024572602,1.899067,-0.166446,-0.099212,-0.1436548,3.5682454,-0.1466678,5.2488594,0.26305187,-1.5392432,CD11b-_Monocyte_cells,1.0261281383076921,-0.024572602,3;2;0;1;,-0x1,0x1,,1/6,3/4
10,2.8328626,0.6990898,-0.104177095,-0.17030427,2.40634,-0.08971485,1.2593969,1.6487281,4.28011,0.8727189,4.44725,0.8952712,2.648228,CD11b-_Monocyte_cells,1.6635230219230768,1.2593969,3;2;0;1;,-0x1,0x1,,1/6,3/4
11,2.7835848,0.5906987,-0.08229401,0.40207505,1.5903057,-0.062176302,0.09960601,-0.060321543,4.1926255,2.2179623,5.1106052,0.4666415,-1.2156781,CD11b-_Monocyte_cells,1.2333565234615387,0.4666415,3;2;0;1;,-0x1,0x1,,1/6,3/4
12,3.4613748,-0.073932484,-0.0093494095,-0.03578149,1.8677219,1.1260105,1.283932,0.36068568,4.280508,0.6096992,3.7422638,1.7448707,-1.3279176,CD11b-_Monocyte_cells,1.310006584346154,1.1260105,3;2;0;1;,-0x1,0x1,,1/6,3/4
13,3.4348571,0.47769427,-0.0034990648,0.6544104,-0.13834842,0.028591221,0.0026792665,0.18016042,4.839837,0.23943326,4.0902667,-0.03430466,-1.2973925,CD11b-_Monocyte_cells,0.9595680763615384,0.18016042,3;2;0;1;,-0x1,0x1,,1/6,3/4
14,3.595053,0.18623532,-0.12516074,-0.14866118,2.4316366,1.1842291,0.36127502,0.7867361,4.2246513,1.7637713,4.3167725,1.2463402,1.0430692,CD11b-_Monocyte_cells,1.6050729015384617,1.1842291,3;2;0;1;,-0x1,0x1,,1/6,3/4
15,3.7189512,-0.25019863,0.03431357,0.33971074,2.348316,-0.118480474,0.43626866,1.5861785,4.670213,-0.035699353,5.1186814,1.4906929,0.10374119,CD11b-_Monocyte_cells,1.495591438692308,0.43626866,3;2;0;1;,-0x1,0x1,,1/6,3/4
16,2.2129529,-0.052433368,-0.0374393,-0.14437206,1.4964199,-0.27886337,1.0611979,-0.046427168,4.3648434,2.0460527,4.9282746,1.369974,0.6188262,CD11b-_Monocyte_cells,1.3491543333846157,1.0611979,3;2;0;1;,-0x1,0x1,,1/6,3/4
17,3.5018916,0.7373346,0.5684984,-0.036355276,1.264146,1.3874345,0.6417979,-0.05404021,4.6440415,1.7217556,4.0417967,1.3517112,0.60590166,CD11b-_Monocyte_cells,1.5673780133846156,1.264146,3;2;0;1;,-0x1,0x1,,1/6,3/4
18,3.3647435,0.8523597,-0.60301125,-0.45847586,1.561623,1.5850378,0.35082674,0.11803045,4.334238,2.2029252,4.376369,0.2716801,0.5914442,CD11b-_Monocyte_cells,1.426753121538462,0.8523597,3;2;0;1;,-0x1,0x1,,1/6,3/4
19,4.6124926,1.0571206,0.62597173,0.7395132,3.6177456,0.7537064,0.19330825,1.7327684,5.4168763,3.3839862,3.5541136,1.177832,-1.5771464,CD11b-_Monocyte_cells,1.94525296,1.177832,3;2;0;1;,-0x1,0x1,,1/6,3/4
20,3.745999,2.0155034,-0.143675,0.42426306,0.66515744,-0.0431909,-0.1350437,-0.13719103,4.746518,1.8671945,4.9196234,-0.051965646,1.4927361,CD11b-_Monocyte_cells,1.4896868172307691,0.66515744,3;2;0;1;,-0x1,0x1,,1/6,3/4
21,3.5775735,0.37253222,-0.06168184,-0.045661945,2.336033,1.8495811,1.5507724,0.037983768,4.887433,2.2204044,5.2210073,0.32207814,1.0374122,CD11b-_Monocyte_cells,1.7927282494615384,1.5507724,3;2;0;1;,-0x1,0x1,,1/6,3/4
22,3.721656,1.4459609,-0.05472062,0.44449487,2.3491971,-0.046257086,0.73241735,0.58886385,4.236649,1.492041,4.249847,1.077434,1.4519048,CD11b-_Monocyte_cells,1.6684221664615384,1.4459609,3;2;0;1;,-0x1,0x1,,1/6,3/4
